,word,positive count,negative count,positive sentiment,negative sentiment
427,charged,400,1,0.5778,-0.2714
428,Breaks,1,10,0.2732,-0.29099
429,fact,1,1,0.7964,-0.4767
430,saying,1,9,0.63,-0.365888888889
431,supported,1,18,0.3182,-0.5859
432,allegations,6,82,0.202216666667,-0.618440243902
433,connect,1,1,0.3367,-0.7168
434,ì,1,30,0.4939,-0.213046666667
435,Hill,1,3,0.4215,-0.304
436,Forward,1,4,0.4215,-0.2663
437,Winslet,55,10,0.740156363636,-0.32999
438,REVEALED,2,4,0.5521,-0.316125
439,find,3,4,0.341433333333,-0.01935
440,ground,1,179,0.3612,-0.3612
441,one,6,197,0.5618,-0.344289847716
442,charity,9,44,0.541066666667,-0.0516
443,We,11,6,0.633154545455,-0.346583333333
444,Lupita,20,1411,0.363805,-0.290939333806
445,producer,2,21,0.32535,-0.226571428571
446,written,30,1,0.3612,0.0
447,French,3,7,0.752566666667,-0.387071428571
448,LIVE,1,17,0.4215,-0.462105882353
449,tape,1,4,0.2869,-0.12545
450,York,3,19,0.248266666667,-0.255668421053
451,rich,2,2,0.7337,-0.74195
452,folks,5,1,0.3943,-0.3595
453,8,3,3,0.5562,-0.6912
454,thousands,1,1,0.6305,-0.2584
455,Michelle,2,71,0.3481,-0.497683098592
456,√,2,317,0.48845,-0.0233927444795
457,hit,1,2,0.1027,-0.3182
458,get,38,260,0.417063157895,-0.426287692308
459,beat,1,14,0.1139,-0.758514285714
460,Amid,1,8,0.4019,-0.586025
461,de,1,234,0.6369,-0.0046594017094
462,stop,3,177,0.169633333333,-0.439436158192
463,Hollywood's,1,62,0.4019,-0.460917741935
464,Leave,1,34,0.4019,-0.471426470588
465,Magazine,2,3,0.0772,-0.267933333333
466,b,21,4,0.5267,-0.050575
467,Responsibility,1,1,0.4019,-0.5267
468,On,10,18,0.4958,-0.157177777778
469,THE,3,8,0.872,-0.577025
470,For,9,14,0.450544444444,-0.357014285714
471,Because,1,5,0.6249,-0.05674
472,Moore,2,4,0.13245,-0.36345
473,held,2,1,0.6908,-0.836
474,Carlson,1,4,0.2462,-0.146475
475,Washington,1,7,0.504,-0.276757142857
476,harassing,1,6,0.2808,-0.770883333333
477,jokes,7,1,0.4001,-0.5191
478,bad,2,5,0.30155,-0.72814
479,wish,1,1,0.6249,-0.2023
480,Allen,6,4,0.28415,-0.11515
481,grab,2,2,0.66385,-0.7859
482,set,1,8,0.25,-0.0386
483,.nytimes.com,2,8,0.5094,-0.2749
484,victim,1,6,0.25,-0.59955
485,fair,2,3,0.0772,-0.6486
486,Hotel,1,8,0.4404,-0.43665
487,culture,1,4,0.6908,0.0
488,see,3,24,0.427833333333,-0.401129166667
489,decided,23,1,0.7642,0.0
490,desperate,2,2,0.2263,-0.4939
491,hell,1,3,0.4199,-0.679066666667
492,fail,1,11,0.0772,-0.7845
493,ò,5,611,0.57828,-0.0224252045827
494,Android,2,2,0.4819,-0.3982
495,John,3,5,0.7065,-0.2815
496,Sent,3,3,0.4939,-0.2065
497,wonder,1,3,0.0772,-0.5514
498,PR,4,2,0.4019,-0.6249
499,said,3,20,0.298066666667,-0.229045
500,That,6,6,0.417416666667,-0.40645
501,harvey,3,191,0.393,-0.403123560209
502,away,1,44,0.1779,-0.414127272727
